event|alphaid|time|ticker|volume
SplitAlphaEv|sSZE113Atem|nil_last_alpha|000001.SZE|14000
SplitAlphaEv|sSZE114Atem|nil_last_alpha|000001.SZE|14000
SplitAlphaEv|sSZE113Atem|93000000|000001.SZE|14000
SplitAlphaEv|sSZE114Atem|93000000|000001.SZE|14000
SplitAlphaEv|sSZE113Atem|93000000|000002.SZE|4250
SplitAlphaEv|sSZE114Atem|93000000|000002.SZE|4250
SplitAlphaEv|sSZE113Atem|93000000|000003.SZE|11000
SplitAlphaEv|sSZE114Atem|93000000|000003.SZE|11000
SplitAlphaEv|sSZE113Atem|93100000|000001.SZE|9450
SplitAlphaEv|sSZE114Atem|93100000|000001.SZE|9450
SplitAlphaEv|sSZE113Atem|93100000|000002.SZE|6700
SplitAlphaEv|sSZE114Atem|93100000|000002.SZE|6700
